directory,purpose,file_count,total_size_bytes,tracked_count,ignored_count,canonical,active,historical,publication_relevant,duplication_risk,recommended_future_action,notes
experiments/exp4_external_baselines/raw/s27,experiment,8,2552,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s344,experiment,8,15904,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s349,experiment,8,16160,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s382,experiment,8,15840,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s38417,experiment,7,1882006,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s38584,experiment,7,1553902,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s400,experiment,8,16736,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s420,experiment,8,4856,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s444,experiment,8,18528,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s526,experiment,8,18720,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s526n,experiment,8,17056,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s5378,experiment,8,228456,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s641,experiment,8,28896,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s713,experiment,8,31328,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s838,experiment,8,40928,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s9234,experiment,8,229016,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s953,experiment,8,45088,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/sample,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/sbc,experiment,8,74136,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/small,experiment,8,336,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/stg,experiment,8,920,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/stg0,experiment,7,322,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/trace,experiment,8,536,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/summary,experiment,6,130210,6,0,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/tables,experiment,2,23409,2,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense,experiment,4,25326,4,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/configs,experiment,4,11482,4,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/converted/IO,experiment,20,149905,20,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/converted/RandA1,experiment,30,2054417,30,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/converted/SGB,experiment,50,709961,50,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/converted/tiny,experiment,2,477,2,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/downloads,experiment,1,10708204,0,1,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/logs,experiment,2,69012,0,2,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_01,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_02,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_03,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_04,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_05,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_06,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_07,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_08,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_09,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_10,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_11,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_12,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_13,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_14,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_15,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_16,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_17,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_18,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_19,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_20,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_21,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_22,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_23,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_24,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N-sgb75_25,experiment,8,3560,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_be75eec,experiment,8,2312,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_be75np,experiment,8,2360,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_be75oi,experiment,8,2312,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_be75tot,experiment,8,2360,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_stabu70,experiment,8,2792,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_stabu74,experiment,8,2792,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_stabu75,experiment,8,2792,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d100_01,experiment,8,4768,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d100_02,experiment,8,4768,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d100_03,experiment,8,4768,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d100_04,experiment,8,4768,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d100_05,experiment,8,4768,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d150_01,experiment,8,7968,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d150_02,experiment,8,7968,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d150_03,experiment,8,7968,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d150_04,experiment,8,7968,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d150_05,experiment,8,7968,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d200_01,experiment,8,11168,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d200_02,experiment,8,11168,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d200_03,experiment,8,11168,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d200_04,experiment,8,11168,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_t1d200_05,experiment,8,11168,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_tiw56n54,experiment,8,2600,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_tiw56r54,experiment,8,2600,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/raw/N_usa79,experiment,8,3752,0,8,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/summary,experiment,5,65989,5,0,partial,yes,no,yes,low,retain,
experiments/exp5_lolib_dense/tables,experiment,2,5577,2,0,partial,yes,no,yes,low,retain,
experiments/exp6_ipsns_budget_curve,experiment,1,1365,1,0,partial,yes,no,yes,low,retain,
experiments/exp6_ipsns_budget_curve/config,experiment,1,2468,0,1,partial,yes,no,yes,low,retain,
experiments/exp6_ipsns_budget_curve/logs,experiment,1,51533,0,1,partial,yes,no,yes,low,retain,
experiments/exp6_ipsns_budget_curve/raw,experiment,120,854508,0,120,partial,yes,no,yes,low,retain,
experiments/exp6_ipsns_budget_curve/summary,experiment,3,12872,3,0,partial,yes,no,yes,low,retain,
experiments/exp7_plain_local_search,experiment,1,2561,1,0,partial,yes,no,yes,low,retain,
experiments/exp7_plain_local_search/config,experiment,1,2468,0,1,partial,yes,no,yes,low,retain,
experiments/exp7_plain_local_search/logs,experiment,1,5733,0,1,partial,yes,no,yes,low,retain,
experiments/exp7_plain_local_search/summary,experiment,3,11689,3,0,partial,yes,no,yes,low,retain,
experiments/exp8_medium_mip_baseline,experiment,2,4842,2,0,partial,yes,no,yes,low,retain,
experiments/exp8_medium_mip_baseline/config,experiment,3,3016,2,1,partial,yes,no,yes,low,retain,
experiments/exp8_medium_mip_baseline/logs,experiment,1,3655,0,1,partial,yes,no,yes,low,retain,
experiments/exp8_medium_mip_baseline/summary,experiment,6,8373,6,0,partial,yes,no,yes,low,retain,
experiments/exp9_application_case,experiment,2,80977,2,0,partial,yes,no,yes,low,retain,
experiments/exp9_application_case/config,experiment,3,2906,2,1,partial,yes,no,yes,low,retain,
experiments/exp9_application_case/converted,experiment,2,7898,2,0,partial,yes,no,yes,low,retain,
experiments/exp9_application_case/logs,experiment,1,852,0,1,partial,yes,no,yes,low,retain,
experiments/exp9_application_case/raw,experiment,1,290339,0,1,partial,yes,no,yes,low,retain,
experiments/exp9_application_case/summary,experiment,3,1894,3,0,partial,yes,no,yes,low,retain,
experiments/seedfix_full_wmsf,experiment,4,12454,3,1,partial,yes,no,yes,low,retain,
logs/coap_ipsns_holdout,supporting,4,537470,0,4,partial,yes,no,no,low,retain,
logs/coap_ipsns_sensitivity,supporting,10,65597,9,1,partial,yes,no,no,low,retain,
notebooks/ipsns_original,supporting,1,82379,1,0,partial,yes,no,no,low,retain,
notebooks/local_ratio_original,supporting,1,82379,1,0,partial,yes,no,no,low,retain,
online_resource_1,supporting,8,156594,8,0,partial,yes,no,yes,low,retain,
online_resource_1/.pytest_cache,supporting,3,530,0,3,partial,yes,no,yes,low,retain,
online_resource_1/.pytest_cache/v/cache,supporting,1,6291,0,1,partial,yes,no,yes,low,retain,
online_resource_1/code/scripts,supporting,9,19670,9,0,partial,yes,no,yes,low,retain,
online_resource_1/environment,supporting,5,492,5,0,partial,yes,no,yes,low,retain,
online_resource_1/manifests,supporting,2,10566,2,0,partial,yes,no,yes,low,retain,
online_resource_1/provenance,supporting,18,31725,2,16,partial,yes,no,yes,low,retain,
online_resource_1/results/combined/summary,supporting,2,12682,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/combined/tables,supporting,5,3095,0,5,partial,yes,no,yes,low,retain,
online_resource_1/results/exp1/summary,supporting,3,65749,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp1/tables,supporting,2,45583,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/exp10/config,supporting,4,6187,0,4,partial,yes,no,yes,low,retain,
online_resource_1/results/exp10/figures,supporting,14,412428,0,14,partial,yes,no,yes,low,retain,
online_resource_1/results/exp10/summary,supporting,29,3358336,0,29,partial,yes,no,yes,low,retain,
online_resource_1/results/exp10/tables,supporting,10,41705,0,10,partial,yes,no,yes,low,retain,
online_resource_1/results/exp11,supporting,1,720,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp11/config,supporting,1,259,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp11/scripts,supporting,1,6785,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp11/summary,supporting,3,1936,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp2/summary,supporting,2,3089,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/exp2/tables,supporting,1,2959,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp3/summary,supporting,2,4908,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/exp3/tables,supporting,1,9099,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp4/summary,supporting,6,130210,0,6,partial,yes,no,yes,low,retain,
online_resource_1/results/exp4/tables,supporting,2,23409,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/exp5/summary,supporting,5,65896,0,5,partial,yes,no,yes,low,retain,
online_resource_1/results/exp5/tables,supporting,2,5577,0,2,partial,yes,no,yes,low,retain,
online_resource_1/results/exp6/config,supporting,1,589,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp6/summary,supporting,3,12872,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp7/config,supporting,1,589,0,1,partial,yes,no,yes,low,retain,
online_resource_1/results/exp7/summary,supporting,3,11689,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp8/config,supporting,3,1194,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp8/summary,supporting,6,8373,0,6,partial,yes,no,yes,low,retain,
online_resource_1/results/exp9/config,supporting,3,2608,0,3,partial,yes,no,yes,low,retain,
online_resource_1/results/exp9/summary,supporting,3,1894,0,3,partial,yes,no,yes,low,retain,
online_resource_1/scripts,supporting,10,20525,10,0,partial,yes,no,yes,low,retain,
online_resource_1/src/mwfas,supporting,9,77067,9,0,yes,yes,no,yes,low,retain,
online_resource_1/src/mwfas/__pycache__,supporting,8,83629,0,8,yes,yes,no,yes,low,retain,
online_resource_1/supplement,supporting,3,150400,2,1,yes,yes,no,yes,low,retain,
online_resource_1/supplement/figures,supporting,1,16539,1,0,yes,yes,no,yes,low,retain,
online_resource_1/supplement/sections,supporting,15,27108,15,0,yes,yes,no,yes,low,retain,
online_resource_1/tests,supporting,1,965,1,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/__pycache__,supporting,1,2325,0,1,partial,yes,no,yes,low,retain,
online_resource_1/tests/data/expected_results,supporting,1,945,1,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/data/tiny_graphs,supporting,3,133,3,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/helpers,supporting,3,5494,3,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/helpers/__pycache__,supporting,3,9392,0,3,partial,yes,no,yes,low,retain,
online_resource_1/tests/property,supporting,1,2395,1,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/property/__pycache__,supporting,1,7861,0,1,partial,yes,no,yes,low,retain,
online_resource_1/tests/regression,supporting,4,8155,4,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/regression/__pycache__,supporting,4,31419,0,4,partial,yes,no,yes,low,retain,
online_resource_1/tests/unit,supporting,9,26009,9,0,partial,yes,no,yes,low,retain,
online_resource_1/tests/unit/__pycache__,supporting,9,106117,0,9,partial,yes,no,yes,low,retain,
paper,supporting,18,1475036,16,2,partial,yes,no,no,low,retain,
paper/declarations,supporting,7,2239,7,0,partial,no,yes,no,low,archive_label,
paper/figures,supporting,5,65351,5,0,partial,no,yes,no,low,archive_label,
paper/notes,supporting,34,589710,34,0,partial,no,yes,no,low,archive_label,
paper/notes/artifact_validation,supporting,4,32278,4,0,partial,no,yes,no,low,archive_label,
paper/notes/caie_revision_pass_1_checks,supporting,7,161989,7,0,partial,no,yes,no,low,archive_label,
paper/notes/computational_environment,supporting,5,101918,5,0,partial,no,yes,no,low,archive_label,
paper/notes/download_folder_refresh,supporting,5,88302,5,0,partial,no,yes,no,low,archive_label,
paper/notes/drmaciver_baseline_revision_checks,supporting,2,82193,2,0,partial,no,yes,no,low,archive_label,
paper/notes/drmaciver_terminology_consistency_checks,supporting,2,82326,2,0,partial,no,yes,no,low,archive_label,
paper/notes/exp6_ipsns_budget_curve,supporting,1,1014,1,0,partial,no,yes,no,low,archive_label,
paper/notes/exp7_plain_local_search,supporting,3,94052,3,0,partial,no,yes,no,low,archive_label,
paper/notes/exp8_medium_mip_baseline,supporting,3,95885,3,0,partial,no,yes,no,low,archive_label,
paper/notes/exp9_application_case,supporting,3,96033,3,0,partial,no,yes,no,low,archive_label,
paper/notes/experimental_risk_reduction,supporting,11,100735,11,0,partial,no,yes,no,low,archive_label,
paper/notes/final_contact_pass,supporting,10,88046,10,0,partial,no,yes,no,low,archive_label,
paper/notes/final_layout_readability_audit,supporting,5,190813,5,0,partial,no,yes,no,low,archive_label,
paper/notes/final_placeholder_pass,supporting,8,93252,8,0,partial,no,yes,no,low,archive_label,
paper/notes/final_readthrough,supporting,11,105093,11,0,partial,no,yes,no,low,archive_label,
paper/notes/final_submission_audit,supporting,14,21329,14,0,partial,no,yes,no,low,archive_label,
paper/notes/final_submission_audit/pdf_text,supporting,3,97353,3,0,partial,no,yes,no,low,archive_label,
paper/notes/final_upload_audit,supporting,16,98648,16,0,yes,no,yes,no,low,archive_label,
paper/notes/final_warning_pass,supporting,11,107617,11,0,partial,no,yes,no,low,archive_label,
paper/notes/rejection_audit,supporting,2,19558,2,0,partial,no,yes,no,low,archive_label,
paper/notes/rejection_audit/extracted_review_text,supporting,1,311,1,0,partial,no,yes,no,low,archive_label,
paper/notes/repository_final_audit,supporting,19,100516,19,0,partial,no,yes,no,low,archive_label,
paper/notes/second_reference_pass_pdf_scan,supporting,2,85605,2,0,partial,no,yes,no,low,archive_label,
paper/notes/structural_risk_reduction,supporting,10,469568,8,2,partial,no,yes,no,low,archive_label,
paper/scripts,supporting,9,143150,9,0,partial,no,yes,no,low,archive_label,
paper/sections,supporting,8,83402,8,0,partial,no,yes,no,low,archive_label,
paper/source_material,supporting,1,630,1,0,partial,no,yes,no,low,archive_label,
paper/source_material/bibtex,supporting,3,23003,3,0,partial,no,yes,no,low,archive_label,
paper/source_material/extracted_archives/Fast_Local_Ratio_Cycle_Reduction_with_Topological_Add_Back_for_Weighted_Feedback_Arc_Sets_JOCO,supporting,12,393600,0,12,partial,no,yes,no,low,archive_label,
paper/source_material/extracted_archives/Incumbent_Protected_SCC_Neighborhood_Search_for_the_Weighted_Feedback_Arc_Set_Problem,supporting,10,233795,0,10,partial,no,yes,no,low,archive_label,
paper/source_material/tex_sources,supporting,4,122935,0,4,partial,no,yes,no,low,archive_label,
paper/tables,supporting,14,15231,14,0,partial,no,yes,no,low,archive_label,
paper_coap,COAP,19,974536,14,5,partial,yes,no,yes,low,retain,
paper_coap/bibliography,COAP,1,11029,1,0,partial,yes,no,yes,low,retain,
paper_coap/declarations,COAP,1,3179,1,0,partial,yes,no,yes,low,retain,
paper_coap/figures,COAP,6,81890,6,0,partial,yes,no,yes,low,retain,
paper_coap/notes,COAP,12,37229,12,0,partial,yes,no,yes,low,retain,
paper_coap/sections,COAP,9,106901,9,0,yes,yes,no,yes,low,retain,
paper_coap/submission,COAP,5,56916,5,0,partial,yes,no,yes,low,retain,
paper_coap/submission/final_upload,COAP,6,1772886,6,0,yes,yes,no,yes,low,retain,
paper_coap/supplementary,COAP,1,580,1,0,partial,yes,no,yes,low,retain,
paper_coap/tables,COAP,16,16958,16,0,partial,yes,no,yes,low,retain,
paper_coap/template_reference,COAP,5,1598514,5,0,partial,yes,no,yes,low,retain,
results/processed,supporting,1,0,0,1,partial,yes,no,no,low,retain,
results/raw,supporting,2,85183,0,2,partial,yes,no,no,low,retain,
results/raw/full_benchmark/processed,supporting,1,51374,0,1,partial,yes,no,no,low,retain,
results/raw/full_benchmark/raw,supporting,315,2451819,0,315,partial,yes,no,no,low,retain,
results/raw/smoke_test/processed,supporting,1,1258,0,1,partial,yes,no,no,low,retain,
results/raw/smoke_test/raw,supporting,9,492,0,9,partial,yes,no,no,low,retain,
results/tables,supporting,2,50470,0,2,partial,yes,no,no,low,retain,
scripts,supporting,28,194426,28,0,partial,yes,no,no,low,retain,
src/mwfas,supporting,9,77067,9,0,yes,yes,no,yes,low,retain,
src/mwfas/__pycache__,supporting,8,83485,0,8,yes,yes,no,yes,low,retain,
submission_files_for_download,supporting,8,1294084,8,0,partial,yes,no,no,low,retain,
submission_package,supporting,3,580863,3,0,partial,no,yes,no,high,archive_label,
submission_package/anonymous_artifact,supporting,1,182527,0,1,partial,no,yes,no,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous,supporting,8,11781,0,8,partial,no,yes,no,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/docs,supporting,1,9810,0,1,partial,no,yes,no,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments,supporting,1,1571,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/combined/tables,supporting,5,3056,0,5,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp1b_core_benchmark_full_wmsf_seed,supporting,1,8970,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp1b_core_benchmark_full_wmsf_seed/configs,supporting,3,5180,0,3,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp1b_core_benchmark_full_wmsf_seed/summary,supporting,2,1897,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp1b_core_benchmark_full_wmsf_seed/tables,supporting,2,45583,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp2_ablation,supporting,2,16569,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp2_ablation/configs,supporting,2,6663,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp2_ablation/summary,supporting,2,3089,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp2_ablation/tables,supporting,1,2959,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp3_exact_small,supporting,1,11299,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp3_exact_small/configs,supporting,1,768,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp3_exact_small/summary,supporting,2,4908,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp3_exact_small/tables,supporting,1,9099,0,1,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp4_external_baselines,supporting,5,28337,0,5,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp4_external_baselines/configs,supporting,2,5013,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp4_external_baselines/summary,supporting,5,19808,0,5,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp4_external_baselines/tables,supporting,2,23409,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp5_lolib_dense,supporting,4,25326,0,4,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp5_lolib_dense/configs,supporting,4,11425,0,4,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp5_lolib_dense/summary,supporting,4,13981,0,4,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/experiments/exp5_lolib_dense/tables,supporting,2,5568,0,2,partial,no,yes,yes,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/scripts,supporting,24,144964,0,24,partial,no,yes,no,high,archive_label,
submission_package/anonymous_artifact/staging/mwfas_reproducibility_artifact_anonymous/src/mwfas,supporting,8,69469,0,8,yes,no,yes,yes,high,archive_label,
submission_package/ejco_files_for_upload,supporting,7,624431,7,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_reproducibility_artifact,supporting,8,14542,8,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_reproducibility_artifact/docs,supporting,1,9810,1,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments,supporting,1,1571,1,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/combined/tables,supporting,5,3056,0,5,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp1b_core_benchmark_full_wmsf_seed,supporting,1,8970,1,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp1b_core_benchmark_full_wmsf_seed/configs,supporting,3,5180,3,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp1b_core_benchmark_full_wmsf_seed/summary,supporting,2,1897,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp1b_core_benchmark_full_wmsf_seed/tables,supporting,2,45583,0,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp2_ablation,supporting,2,16569,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp2_ablation/configs,supporting,2,6663,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp2_ablation/summary,supporting,2,3089,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp2_ablation/tables,supporting,1,2959,0,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp3_exact_small,supporting,1,11299,1,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp3_exact_small/configs,supporting,1,768,1,0,partial,no,yes,yes,high,archive_label,
